Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2009Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.9
2009Q3,Capital region,Females,55-74,Unemployed (Estimated number),300
2009Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.4
2009Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2800
2009Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.2
2009Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1400
2009Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2009Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),1000
2009Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.1
2009Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),500
2009Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5
2009Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),1800
2009Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",13.6
2009Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),700
2009Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.7
2009Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),600
2009Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",6.1
2009Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),400
2009Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.8
2009Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),1100
2009Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",12.7
2009Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),700
2009Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.9
2009Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),300
2009Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.5
2009Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2009Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.8
2009Q4,Total,Males and females,16-74,Unemployed (Estimated number),13600
2009Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",18.6
2009Q4,Total,Males and females,16-24,Unemployed (Estimated number),4900
2009Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",6.6
2009Q4,Total,Males and females,25-54,Unemployed (Estimated number),7500
2009Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.3
2009Q4,Total,Males and females,55-74,Unemployed (Estimated number),1100
2009Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",9.2
2009Q4,Total,Males,16-74,Unemployed (Estimated number),8600
2009Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",23.6
2009Q4,Total,Males,16-24,Unemployed (Estimated number),2900
2009Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",8
2009Q4,Total,Males,25-54,Unemployed (Estimated number),4900
2009Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.9
2009Q4,Total,Males,55-74,Unemployed (Estimated number),700
2009Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.1
2009Q4,Total,Females,16-74,Unemployed (Estimated number),5000
2009Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",14.2
2009Q4,Total,Females,16-24,Unemployed (Estimated number),2000
2009Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",4.9
2009Q4,Total,Females,25-54,Unemployed (Estimated number),2600
2009Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2009Q4,Total,Females,55-74,Unemployed (Estimated number),400
2009Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",7.6
2009Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),8600
2009Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",14.3
2009Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),2600
2009Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.2
2009Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),5300
2009Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.4
2009Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),700
2009Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",9
2009Q4,Capital region,Males,16-74,Unemployed (Estimated number),5300
2009Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.9
2009Q4,Capital region,Males,16-24,Unemployed (Estimated number),1500
2009Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",8.7
2009Q4,Capital region,Males,25-54,Unemployed (Estimated number),3300
2009Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",3.4
2009Q4,Capital region,Males,55-74,Unemployed (Estimated number),400
2009Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.1
2009Q4,Capital region,Females,16-74,Unemployed (Estimated number),3300
2009Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.1
2009Q4,Capital region,Females,16-24,Unemployed (Estimated number),1000
2009Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.5
2009Q4,Capital region,Females,25-54,Unemployed (Estimated number),2000
2009Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.4
2009Q4,Capital region,Females,55-74,Unemployed (Estimated number),300
2009Q4,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",8.1
2009Q4,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),5000
2009Q4,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",27.7
2009Q4,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),2300
2009Q4,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",5.5
2009Q4,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),2200
2009Q4,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.2
2009Q4,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2009Q4,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",9.7
2009Q4,Outside Capital region,Males,16-74,Unemployed (Estimated number),3300
2009Q4,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",36.9
2009Q4,Outside Capital region,Males,16-24,Unemployed (Estimated number),1400
2009Q4,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",6.9
2009Q4,Outside Capital region,Males,25-54,Unemployed (Estimated number),1600
2009Q4,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.8
2009Q4,Outside Capital region,Males,55-74,Unemployed (Estimated number),300
2009Q4,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6
2009Q4,Outside Capital region,Females,16-74,Unemployed (Estimated number),1700
2009Q4,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",20.5
2009Q4,Outside Capital region,Females,16-24,Unemployed (Estimated number),1000
2009Q4,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.7
2009Q4,Outside Capital region,Females,25-54,Unemployed (Estimated number),600
2009Q4,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.2
2009Q4,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2010Q1,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",8.5
2010Q1,Total,Males and females,16-74,Unemployed (Estimated number),14700
2010Q1,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",17.9
2010Q1,Total,Males and females,16-24,Unemployed (Estimated number),4600
2010Q1,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.4
2010Q1,Total,Males and females,25-54,Unemployed (Estimated number),8300
2010Q1,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.9
2010Q1,Total,Males and females,55-74,Unemployed (Estimated number),1700
2010Q1,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",10.3
2010Q1,Total,Males,16-74,Unemployed (Estimated number),9600
2010Q1,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",24.3
2010Q1,Total,Males,16-24,Unemployed (Estimated number),3200
2010Q1,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",8.9
2010Q1,Total,Males,25-54,Unemployed (Estimated number),5300
2010Q1,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.2
2010Q1,Total,Males,55-74,Unemployed (Estimated number),1000
2010Q1,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",6.3
2010Q1,Total,Females,16-74,Unemployed (Estimated number),5100
2010Q1,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11.1
2010Q1,Total,Females,16-24,Unemployed (Estimated number),1400
2010Q1,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",5.7
2010Q1,Total,Females,25-54,Unemployed (Estimated number),3000
2010Q1,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",4.5
2010Q1,Total,Females,55-74,Unemployed (Estimated number),700
2010Q1,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",9.5
2010Q1,Capital region,Males and females,16-74,Unemployed (Estimated number),10800
2010Q1,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",16.8
2010Q1,Capital region,Males and females,16-24,Unemployed (Estimated number),3000
2010Q1,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",8.5
2010Q1,Capital region,Males and females,25-54,Unemployed (Estimated number),6300
2010Q1,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",6.9
2010Q1,Capital region,Males and females,55-74,Unemployed (Estimated number),1500
2010Q1,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",11.6
2010Q1,Capital region,Males,16-74,Unemployed (Estimated number),7000
2010Q1,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",24.3
2010Q1,Capital region,Males,16-24,Unemployed (Estimated number),2200
2010Q1,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",10.1
2010Q1,Capital region,Males,25-54,Unemployed (Estimated number),3900
2010Q1,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",7.3
2010Q1,Capital region,Males,55-74,Unemployed (Estimated number),900
2010Q1,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",7.2
2010Q1,Capital region,Females,16-74,Unemployed (Estimated number),3800
2010Q1,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",9.2
2010Q1,Capital region,Females,16-24,Unemployed (Estimated number),800
2010Q1,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",6.8
2010Q1,Capital region,Females,25-54,Unemployed (Estimated number),2300
2010Q1,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",6.5
2010Q1,Capital region,Females,55-74,Unemployed (Estimated number),700
2010Q1,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",6.4
2010Q1,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),3900
2010Q1,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",20.1
2010Q1,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1700
2010Q1,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",5.2
2010Q1,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),2100
2010Q1,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.2
2010Q1,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),100
2010Q1,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",7.9
2010Q1,Outside Capital region,Males,16-74,Unemployed (Estimated number),2600
2010Q1,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",24.2
2010Q1,Outside Capital region,Males,16-24,Unemployed (Estimated number),1100
2010Q1,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",6.7
2010Q1,Outside Capital region,Males,25-54,Unemployed (Estimated number),1400
2010Q1,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.4
2010Q1,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2010Q1,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.7
2010Q1,Outside Capital region,Females,16-74,Unemployed (Estimated number),1300
2010Q1,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",15.4
2010Q1,Outside Capital region,Females,16-24,Unemployed (Estimated number),600
2010Q1,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.6
2010Q1,Outside Capital region,Females,25-54,Unemployed (Estimated number),600
2010Q1,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1
2010Q1,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2010Q2,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",9.8
2010Q2,Total,Males and females,16-74,Unemployed (Estimated number),17700
2010Q2,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",24
2010Q2,Total,Males and females,16-24,Unemployed (Estimated number),8000
2010Q2,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",7.1
2010Q2,Total,Males and females,25-54,Unemployed (Estimated number),8000
2010Q2,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.9
2010Q2,Total,Males and females,55-74,Unemployed (Estimated number),1700
2010Q2,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",10.7
2010Q2,Total,Males,16-74,Unemployed (Estimated number),10300
2010Q2,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",28.3
2010Q2,Total,Males,16-24,Unemployed (Estimated number),4600
2010Q2,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",7.5
2010Q2,Total,Males,25-54,Unemployed (Estimated number),4500
2010Q2,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",6
2010Q2,Total,Males,55-74,Unemployed (Estimated number),1200
