Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2013Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.9
2013Q4,Transportation and storage (H),Value of index,70
2013Q4,Transportation and storage (H),"Quarterly change, %",9
2013Q4,Transportation and storage (H),"Annual change, %",4.5
2013Q4,Accommodation and food service activities (I),Value of index,69.5
2013Q4,Accommodation and food service activities (I),"Quarterly change, %",7.3
2013Q4,Accommodation and food service activities (I),"Annual change, %",6.1
2013Q4,Information and communication (J),Value of index,70.6
2013Q4,Information and communication (J),"Quarterly change, %",7.8
2013Q4,Information and communication (J),"Annual change, %",6.6
2013Q4,Financial and insurance activities (K),Value of index,78.3
2013Q4,Financial and insurance activities (K),"Quarterly change, %",22.7
2013Q4,Financial and insurance activities (K),"Annual change, %",19.9
2013Q4,Real estate activities (L),Value of index,72.6
2013Q4,Real estate activities (L),"Quarterly change, %",9.3
2013Q4,Real estate activities (L),"Annual change, %",3.6
2013Q4,"Professional, scientific and technical activities (M)",Value of index,76.1
2013Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",10.6
2013Q4,"Professional, scientific and technical activities (M)","Annual change, %",4.8
2013Q4,Administrative and support service activities (N),Value of index,70.7
2013Q4,Administrative and support service activities (N),"Quarterly change, %",8.9
2013Q4,Administrative and support service activities (N),"Annual change, %",6.6
2013Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,67.4
2013Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",9.8
2013Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.8
2014Q1,Total,Value of index,68.8
2014Q1,Total,"Quarterly change, %",-1.3
2014Q1,Total,"Annual change, %",7
2014Q1,Private sector,Value of index,71.1
2014Q1,Private sector,"Quarterly change, %",-0.8
2014Q1,Private sector,"Annual change, %",7.1
2014Q1,Public sector,Value of index,65.3
2014Q1,Public sector,"Quarterly change, %",-2.4
2014Q1,Public sector,"Annual change, %",5.8
2014Q1,Manufacturing (C),Value of index,68.9
2014Q1,Manufacturing (C),"Quarterly change, %",0.6
2014Q1,Manufacturing (C),"Annual change, %",6.3
2014Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,68.1
2014Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-3.3
2014Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.9
2014Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,71.3
2014Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",1
2014Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",6.6
2014Q1,Construction (F),Value of index,72.5
2014Q1,Construction (F),"Quarterly change, %",-2.6
2014Q1,Construction (F),"Annual change, %",5.5
2014Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,68.5
2014Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",0
2014Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.2
2014Q1,Transportation and storage (H),Value of index,69.1
2014Q1,Transportation and storage (H),"Quarterly change, %",-1.3
2014Q1,Transportation and storage (H),"Annual change, %",3.1
2014Q1,Accommodation and food service activities (I),Value of index,68.3
2014Q1,Accommodation and food service activities (I),"Quarterly change, %",-1.7
2014Q1,Accommodation and food service activities (I),"Annual change, %",5.7
2014Q1,Information and communication (J),Value of index,72.4
2014Q1,Information and communication (J),"Quarterly change, %",2.5
2014Q1,Information and communication (J),"Annual change, %",8.7
2014Q1,Financial and insurance activities (K),Value of index,75.2
2014Q1,Financial and insurance activities (K),"Quarterly change, %",-4
2014Q1,Financial and insurance activities (K),"Annual change, %",16.8
2014Q1,Real estate activities (L),Value of index,70.2
2014Q1,Real estate activities (L),"Quarterly change, %",-3.3
2014Q1,Real estate activities (L),"Annual change, %",5.6
2014Q1,"Professional, scientific and technical activities (M)",Value of index,76.4
2014Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",0.4
2014Q1,"Professional, scientific and technical activities (M)","Annual change, %",7.3
2014Q1,Administrative and support service activities (N),Value of index,70
2014Q1,Administrative and support service activities (N),"Quarterly change, %",-1
2014Q1,Administrative and support service activities (N),"Annual change, %",6.9
2014Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,65.6
2014Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.7
2014Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",5.8
2014Q2,Total,Value of index,69.5
2014Q2,Total,"Quarterly change, %",1
2014Q2,Total,"Annual change, %",6.6
2014Q2,Private sector,Value of index,70.8
2014Q2,Private sector,"Quarterly change, %",-0.4
2014Q2,Private sector,"Annual change, %",6.3
2014Q2,Public sector,Value of index,67.3
2014Q2,Public sector,"Quarterly change, %",3.1
2014Q2,Public sector,"Annual change, %",6.2
2014Q2,Manufacturing (C),Value of index,68.7
2014Q2,Manufacturing (C),"Quarterly change, %",-0.3
2014Q2,Manufacturing (C),"Annual change, %",6.3
2014Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,68.3
2014Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",0.3
2014Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.4
2014Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,71.2
2014Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-0.2
2014Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",8.2
2014Q2,Construction (F),Value of index,74.7
2014Q2,Construction (F),"Quarterly change, %",3
2014Q2,Construction (F),"Annual change, %",6
2014Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,69.3
2014Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",1.2
2014Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.5
2014Q2,Transportation and storage (H),Value of index,70.1
2014Q2,Transportation and storage (H),"Quarterly change, %",1.4
2014Q2,Transportation and storage (H),"Annual change, %",5.4
2014Q2,Accommodation and food service activities (I),Value of index,70.2
2014Q2,Accommodation and food service activities (I),"Quarterly change, %",2.8
2014Q2,Accommodation and food service activities (I),"Annual change, %",5.9
2014Q2,Information and communication (J),Value of index,72.7
2014Q2,Information and communication (J),"Quarterly change, %",0.4
2014Q2,Information and communication (J),"Annual change, %",7.7
2014Q2,Financial and insurance activities (K),Value of index,71.7
2014Q2,Financial and insurance activities (K),"Quarterly change, %",-4.7
2014Q2,Financial and insurance activities (K),"Annual change, %",9.3
2014Q2,Real estate activities (L),Value of index,71.2
2014Q2,Real estate activities (L),"Quarterly change, %",1.4
2014Q2,Real estate activities (L),"Annual change, %",7.1
2014Q2,"Professional, scientific and technical activities (M)",Value of index,75.2
2014Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",-1.6
2014Q2,"Professional, scientific and technical activities (M)","Annual change, %",5.8
2014Q2,Administrative and support service activities (N),Value of index,70.8
2014Q2,Administrative and support service activities (N),"Quarterly change, %",1.1
2014Q2,Administrative and support service activities (N),"Annual change, %",5.7
2014Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,67.6
2014Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",3
2014Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6.3
2014Q3,Total,Value of index,67.2
2014Q3,Total,"Quarterly change, %",-3.3
2014Q3,Total,"Annual change, %",6.5
2014Q3,Private sector,Value of index,68
2014Q3,Private sector,"Quarterly change, %",-4
2014Q3,Private sector,"Annual change, %",5.8
2014Q3,Public sector,Value of index,65.6
2014Q3,Public sector,"Quarterly change, %",-2.5
2014Q3,Public sector,"Annual change, %",7
2014Q3,Manufacturing (C),Value of index,66.1
2014Q3,Manufacturing (C),"Quarterly change, %",-3.8
2014Q3,Manufacturing (C),"Annual change, %",5.9
2014Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,65
2014Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-4.8
2014Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.7
2014Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,68.5
2014Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-3.8
2014Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",8.6
2014Q3,Construction (F),Value of index,71.8
2014Q3,Construction (F),"Quarterly change, %",-3.9
2014Q3,Construction (F),"Annual change, %",5.4
2014Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,66.7
2014Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.8
2014Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.4
2014Q3,Transportation and storage (H),Value of index,67.6
2014Q3,Transportation and storage (H),"Quarterly change, %",-3.6
2014Q3,Transportation and storage (H),"Annual change, %",5.3
2014Q3,Accommodation and food service activities (I),Value of index,68.5
