Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,H - Transportation and storage,2001,95% Conf.Int,900
Total,H - Transportation and storage,2002,Number (main and second job),7900
Total,H - Transportation and storage,2002,95% Conf.Int,900
Total,H - Transportation and storage,2003,Number (main and second job),8800
Total,H - Transportation and storage,2003,95% Conf.Int,700
Total,H - Transportation and storage,2004,Number (main and second job),8900
Total,H - Transportation and storage,2004,95% Conf.Int,700
Total,H - Transportation and storage,2005,Number (main and second job),9200
Total,H - Transportation and storage,2005,95% Conf.Int,800
Total,H - Transportation and storage,2006,Number (main and second job),9700
Total,H - Transportation and storage,2006,95% Conf.Int,800
Total,H - Transportation and storage,2007,Number (main and second job),9300
Total,H - Transportation and storage,2007,95% Conf.Int,800
Total,H - Transportation and storage,2008,Number (main and second job),9700
Total,H - Transportation and storage,2008,95% Conf.Int,800
Total,H - Transportation and storage,2009,Number (main and second job),10000
Total,H - Transportation and storage,2009,95% Conf.Int,800
Total,H - Transportation and storage,2010,Number (main and second job),9300
Total,H - Transportation and storage,2010,95% Conf.Int,800
Total,H - Transportation and storage,2011,Number (main and second job),9400
Total,H - Transportation and storage,2011,95% Conf.Int,800
Total,H - Transportation and storage,2012,Number (main and second job),9400
Total,H - Transportation and storage,2012,95% Conf.Int,800
Total,H - Transportation and storage,2013,Number (main and second job),9700
Total,H - Transportation and storage,2013,95% Conf.Int,800
Total,H - Transportation and storage,2014,Number (main and second job),10600
Total,H - Transportation and storage,2014,95% Conf.Int,900
Total,H - Transportation and storage,2015,Number (main and second job),11900
Total,H - Transportation and storage,2015,95% Conf.Int,1000
Total,H - Transportation and storage,2016,Number (main and second job),13900
Total,H - Transportation and storage,2016,95% Conf.Int,1100
Total,H - Transportation and storage,2017,Number (main and second job),14100
Total,H - Transportation and storage,2017,95% Conf.Int,1200
Total,H - Transportation and storage,2018,Number (main and second job),14400
Total,H - Transportation and storage,2018,95% Conf.Int,1100
Total,H - Transportation and storage,2019,Number (main and second job),13200
Total,H - Transportation and storage,2019,95% Conf.Int,1100
Total,H - Transportation and storage,2020,Number (main and second job),10600
Total,H - Transportation and storage,2020,95% Conf.Int,1000
Total,H - Transportation and storage,2021,Number (main and second job),9700
Total,H - Transportation and storage,2021,95% Conf.Int,1000
Total,H - Transportation and storage,2022,Number (main and second job),13100
Total,H - Transportation and storage,2022,95% Conf.Int,1200
Total,H - Transportation and storage,2023,Number (main and second job),13700
Total,H - Transportation and storage,2023,95% Conf.Int,1300
Total,H - Transportation and storage,2024,Number (main and second job),14900
Total,H - Transportation and storage,2024,95% Conf.Int,1400
Total,H - Transportation and storage,2025,Number (main and second job),14700
Total,H - Transportation and storage,2025,95% Conf.Int,1400
Total,H:51 - Air transport,1991,Number (main and second job),1400
Total,H:51 - Air transport,1991,95% Conf.Int,400
Total,H:51 - Air transport,1992,Number (main and second job),1400
Total,H:51 - Air transport,1992,95% Conf.Int,400
Total,H:51 - Air transport,1993,Number (main and second job),1500
Total,H:51 - Air transport,1993,95% Conf.Int,400
Total,H:51 - Air transport,1994,Number (main and second job),1100
Total,H:51 - Air transport,1994,95% Conf.Int,300
Total,H:51 - Air transport,1995,Number (main and second job),1300
Total,H:51 - Air transport,1995,95% Conf.Int,300
Total,H:51 - Air transport,1996,Number (main and second job),1600
Total,H:51 - Air transport,1996,95% Conf.Int,400
Total,H:51 - Air transport,1997,Number (main and second job),1700
Total,H:51 - Air transport,1997,95% Conf.Int,400
Total,H:51 - Air transport,1998,Number (main and second job),2600
Total,H:51 - Air transport,1998,95% Conf.Int,500
Total,H:51 - Air transport,1999,Number (main and second job),2900
Total,H:51 - Air transport,1999,95% Conf.Int,500
Total,H:51 - Air transport,2000,Number (main and second job),2700
Total,H:51 - Air transport,2000,95% Conf.Int,500
Total,H:51 - Air transport,2001,Number (main and second job),1900
Total,H:51 - Air transport,2001,95% Conf.Int,400
Total,H:51 - Air transport,2002,Number (main and second job),1600
Total,H:51 - Air transport,2002,95% Conf.Int,400
Total,H:51 - Air transport,2003,Number (main and second job),1700
Total,H:51 - Air transport,2003,95% Conf.Int,300
Total,H:51 - Air transport,2004,Number (main and second job),1800
Total,H:51 - Air transport,2004,95% Conf.Int,300
Total,H:51 - Air transport,2005,Number (main and second job),1900
Total,H:51 - Air transport,2005,95% Conf.Int,300
Total,H:51 - Air transport,2006,Number (main and second job),2100
Total,H:51 - Air transport,2006,95% Conf.Int,400
Total,H:51 - Air transport,2007,Number (main and second job),2200
Total,H:51 - Air transport,2007,95% Conf.Int,400
Total,H:51 - Air transport,2008,Number (main and second job),2000
Total,H:51 - Air transport,2008,95% Conf.Int,400
Total,H:51 - Air transport,2009,Number (main and second job),2100
Total,H:51 - Air transport,2009,95% Conf.Int,400
Total,H:51 - Air transport,2010,Number (main and second job),1900
Total,H:51 - Air transport,2010,95% Conf.Int,400
Total,H:51 - Air transport,2011,Number (main and second job),1900
Total,H:51 - Air transport,2011,95% Conf.Int,400
Total,H:51 - Air transport,2012,Number (main and second job),1700
Total,H:51 - Air transport,2012,95% Conf.Int,300
Total,H:51 - Air transport,2013,Number (main and second job),2100
Total,H:51 - Air transport,2013,95% Conf.Int,400
Total,H:51 - Air transport,2014,Number (main and second job),2300
Total,H:51 - Air transport,2014,95% Conf.Int,400
Total,H:51 - Air transport,2015,Number (main and second job),2400
Total,H:51 - Air transport,2015,95% Conf.Int,400
Total,H:51 - Air transport,2016,Number (main and second job),2900
Total,H:51 - Air transport,2016,95% Conf.Int,500
Total,H:51 - Air transport,2017,Number (main and second job),3200
Total,H:51 - Air transport,2017,95% Conf.Int,500
Total,H:51 - Air transport,2018,Number (main and second job),4400
Total,H:51 - Air transport,2018,95% Conf.Int,600
Total,H:51 - Air transport,2019,Number (main and second job),3900
Total,H:51 - Air transport,2019,95% Conf.Int,600
Total,H:51 - Air transport,2020,Number (main and second job),2500
Total,H:51 - Air transport,2020,95% Conf.Int,500
Total,H:51 - Air transport,2021,Number (main and second job),2400
Total,H:51 - Air transport,2021,95% Conf.Int,500
Total,H:51 - Air transport,2022,Number (main and second job),4100
Total,H:51 - Air transport,2022,95% Conf.Int,600
Total,H:51 - Air transport,2023,Number (main and second job),4400
Total,H:51 - Air transport,2023,95% Conf.Int,700
Total,H:51 - Air transport,2024,Number (main and second job),4400
Total,H:51 - Air transport,2024,95% Conf.Int,800
Total,H:51 - Air transport,2025,Number (main and second job),5000
Total,H:51 - Air transport,2025,95% Conf.Int,800
Total,I - Accommodation and food service activities,1991,Number (main and second job),4100
Total,I - Accommodation and food service activities,1991,95% Conf.Int,700
Total,I - Accommodation and food service activities,1992,Number (main and second job),3300
Total,I - Accommodation and food service activities,1992,95% Conf.Int,500
Total,I - Accommodation and food service activities,1993,Number (main and second job),4000
Total,I - Accommodation and food service activities,1993,95% Conf.Int,600
Total,I - Accommodation and food service activities,1994,Number (main and second job),4600
Total,I - Accommodation and food service activities,1994,95% Conf.Int,600
Total,I - Accommodation and food service activities,1995,Number (main and second job),4600
Total,I - Accommodation and food service activities,1995,95% Conf.Int,600
Total,I - Accommodation and food service activities,1996,Number (main and second job),4400
Total,I - Accommodation and food service activities,1996,95% Conf.Int,600
Total,I - Accommodation and food service activities,1997,Number (main and second job),4200
Total,I - Accommodation and food service activities,1997,95% Conf.Int,600
Total,I - Accommodation and food service activities,1998,Number (main and second job),4400
Total,I - Accommodation and food service activities,1998,95% Conf.Int,600
Total,I - Accommodation and food service activities,1999,Number (main and second job),5900
Total,I - Accommodation and food service activities,1999,95% Conf.Int,800
Total,I - Accommodation and food service activities,2000,Number (main and second job),6400
Total,I - Accommodation and food service activities,2000,95% Conf.Int,800
Total,I - Accommodation and food service activities,2001,Number (main and second job),6300
Total,I - Accommodation and food service activities,2001,95% Conf.Int,800
Total,I - Accommodation and food service activities,2002,Number (main and second job),5600
Total,I - Accommodation and food service activities,2002,95% Conf.Int,800
Total,I - Accommodation and food service activities,2003,Number (main and second job),6500
Total,I - Accommodation and food service activities,2003,95% Conf.Int,600
Total,I - Accommodation and food service activities,2004,Number (main and second job),6600
Total,I - Accommodation and food service activities,2004,95% Conf.Int,600
Total,I - Accommodation and food service activities,2005,Number (main and second job),6300
Total,I - Accommodation and food service activities,2005,95% Conf.Int,600
Total,I - Accommodation and food service activities,2006,Number (main and second job),7100
Total,I - Accommodation and food service activities,2006,95% Conf.Int,700
Total,I - Accommodation and food service activities,2007,Number (main and second job),7600
Total,I - Accommodation and food service activities,2007,95% Conf.Int,700
Total,I - Accommodation and food service activities,2008,Number (main and second job),7600
Total,I - Accommodation and food service activities,2008,95% Conf.Int,700
Total,I - Accommodation and food service activities,2009,Number (main and second job),8800
